JuvinHHL23 & \su{{CP Opt} Mistral} & ref & y & & PJSSP &\su{endBeforeStart span noOverlap} 
PovedaAA23& \su{{CP Opt} MiniZinc Chuffed}& y & \href{https://github.com/youngkd/MSPSP-InstLib/blob/master/models/mspsp.mzn}{y} & &PP-MS-MMRCPSP/max-cal &  
AalianPG23& CP Opt & n & n & & & ?
KameugneFND23& ? & \su{BL PSPlib}& n & - & RCPSPs & cumulative
EfthymiouY23& OR-Tools & n & n & - & CHSP & -
SquillaciPR23 & Cplex Studio & \href{https://github.com/ssquilla/Earth_Observing_Satellites_benchmarks}{y} & n & - & EOSP & ?
KimCMLLP23& \su{Gurobi OR-Tools}& \href{https://zenodo.org/records/5126007}{y} & n & - & SCC & \su{alternative noOverlap} 
JuvinHL23& \su{{CP Opt} Cplex} & ref & n & - & Perm FSSP & \su{endBeforeStart noOverlap sameSequence}
TardivoDFMP23& \su{MiniCPP MiniZinc} & \href{https://bitbucket.org/constraint-programming/minicpp-benchmarks/src/main/rcpsp/}{\su{PSPLib BL Pack}} & y & - & RCPSP & cumulative
BoudreaultSLQ22& \su{MiniZinc Chuffed}& & \href{https://github.com/raphaelboudreault/chuffed/releases/tag/SBPS}{y} & - & RCPSP & cumulative
PopovicCGNC22& CP Opt & n & n & - & TMS & \su{alwaysIn noOverlap}
WinterMMW22& \su{Cplex Gurobi {CP Opt} {Sim Anneal}} & \href{https://zenodo.org/records/6797397}{y} & \href{https://zenodo.org/records/6797397}{y} & - & PMSP & \su{alternative noOverlap} 
ArmstrongGOS22& CP Opt & (y) & - & \cite{ArmstrongGOS21} & $HFFm|tt|C_{\max}$ & \su{endBeforeStart alternative cumulative noOverlap}
GeitzGSSW22& \su{firstCS QUBO}& \href{https://github.com/cgrozea/Data4ExtJSSAGV}{y}& n & - & JSSP & 
OuelletQ22& Choco & \href{https://github.com/yanickouellet/min-cumulative-paper-public}{y} & \href{https://github.com/yanickouellet/min-cumulative-paper-public}{y} & - & & \su{cumulative minCumulative}
ArmstrongGOS21& \su{MiniZinc Chuffed {CP Opt} SICStus} & \href{https://zenodo.org/record/5168966}{y} & y & - & $HFFm|tt|C_{\max}$ & \su{cumulative diffn table}
AntuoriHHEN21& MCTS & \href{https://gitlab.laas.fr/vantuori/mcts-cp}{y}& \href{https://gitlab.laas.fr/vantuori/mcts-cp}{y} & \cite{} & 
KovacsTKSG21& \su{Gurobi Cplex {CP Opt} {OR-Tools}} & \href{https://github.com/prosysscience/CPWorkloadBalancing}{y} & \href{https://github.com/prosysscience/CPWorkloadBalancing}{y} & - & & cumulative
LacknerMMWW21& \su{{CP Opt} Chuffed OR-Tools Gurobi OPL} & \href{https://cdlab-artis.dbai.tuwien.ac.at/papers/ovenscheduling/}{y} & \href{https://cdlab-artis.dbai.tuwien.ac.at/papers/ovenscheduling/}{y} & & OSP & 
HillTV21& CP Opt & PSPlib & n & - & RCPSP & \su{cumulative alternative endBeforeStart}
KlankeBYE21& OR-Tools & n & n & - & & \su{cumulative circuit noOverlap}				  
HanenKP21& Python & ref & n & - & $P|prec, r_i, d_i|*$& -
Astrand0F21& Gecode & \su{ref generated} & n & - & & -
GeibingerKKMMW21& MiniZinc & \href{https://cdlab-artis.dbai.tuwien.ac.at/papers/pandemic-scheduling/}{y} & n& - & & nvalue	
NattafM20& \su{Cplex {CP Opt}}& - & - & \cite{} & PTC & \su{alternative noOverlap}
GroleazNS20& \su{{CP Opt} ACO} & - & - & \cite{GroleazNS20}& GCSP & group cumulative
Mercier-AubinGQ20& \su{MiniZinc Chuffed}& a & a & - & & \su{circuit cumulative} 
TangB20& \su{Cplex {CP Opt}}& n & n & - & 2BPHFSP & \su{span alwaysIn} 
JWessenCS20& Gecode & n & n & - & & \su{circuit alldifferent} 	
ColT19& \su{{CP Opt} OR-Tools} & \href{https://drive.google.com/drive/folders/1QuKEABR9aiNKPIFe0VMFXP7BNor8KW9b}{y} & \href{https://drive.google.com/drive/folders/1QuKEABR9aiNKPIFe0VMFXP7BNor8KW9b}{y} & - & JSSP & \su{noOverlap} 
FrimodigS19& \su{Mini-Zinc Gecode Cplex} & n & n & - & & \su{cumulative regular bin-packing} 
GalleguillosKSB19& \su{OR-Tools} & & \href{https://github.com/cgalleguillosm/cp_dispatchers}{y} & & on-line dispatch &  
MurinR19& \su{{CP Opt} Cplex OPL} & \href{https://github.com/StanislavMurin/Scheduling-of-Mobile-Robots-using-Constraint-Programming}{y} & \href{https://github.com/StanislavMurin/Scheduling-of-Mobile-Robots-using-Constraint-Programming}{y}& & JSPT & \su{endBeforeStart alternative noOverlap} 
SimoninAHL12& \su{MOST {Ilog Scheduler}} & n & n & -& & \su{cumulative dataTransfer}
KelarevaTK13& \su{MiniZinc CPX G12FD}& ref & - & - & \su{LSFRP BPCTOP}& \su{alldifferent alldifferentExcept0}
LetortCB13& \su{SICStus Choco}& PSPlib & - & - & RCPSP & \su{cumulative kDimensionalCumulative}
cpaior-SchuttFS13& \su{Mercury G12}& \su{PSPlib AT BL Pack KSD15D PackD} & - & - & RCPSP & cumulative 
CireCH13& \su{{CP Opt} Cplex} & dead & n & - & & 
GuSS13& Chuffed& dead & & - & RCPSPDC & \su{cumulative maxNVPProp}
Bit-Monnot23& \su{ARIES {CP Opt} OR-Tools Mistral}& \href{https://github.com/plaans/aries}{y} & \href{https://github.com/plaans/aries}{y} & -& \su{JSSP OSSP}& - 
WangB23& FaCiLe & (y) & n & \cite{WangB20} & FJS & -
WangB20& FaCiLe& \href{http://recherche.enac.fr/~wangrx/ecai_gap/}{y} & n & -& FJS & -
PrataAN23& -& -& -& - & survey & - 
LacknerMMWW23& \su{MiniZinc OPL}& \href{https://zenodo.org/records/7456938}{\su{DZN JSON}}& \href{https://zenodo.org/records/7456938}{y}& \cite{LacknerMMWW21}&  OSP & \su{alternative noOverlap forbidExtent}
Caballero23& SAT & - & - & \href{http://hdl.handle.net/10803/667963}{PhD Thesis} & RCPSP & -
CampeauG22& CP Opt & ref & n & & &\su{pulse alwaysIn endBeforeStart noOverlap}
KoehlerBFFHPSSS21& \su{{CP Opt} OR-Tools Chuffed Cplex Gurobi Z3 OptiMathSat}& \href{https://github.com/kw90/ctw_toolchain}{DZN}& y & - & CTW & \su{alldifferent inverse}
BenediktMH20& \su{{CP Opt} Gurobi} & \href{https://github.com/CTU-IIG/EnergyStatesAndCostsSchedulingData}{JSON} & \href{https://github.com/CTU-IIG/EnergyStatesAndCostsScheduling}{y}& & & 
WallaceY20& MiniZinc & \href{https://data.4tu.nl/articles/_/12912413}{DZN} & \href{https://data.4tu.nl/articles/_/12912413}{y} & & CHSP & 
LaborieRSV18& OP Opt & - & - & - & - & -
FahimiOQ18& Choco & (y) & n & & RCPSP& \su{disjunctive cumulative}
cite{KreterSS17&\su{MiniZinc Chuffed Cplex} & dead & & CP 2015 & RCPSP & \su{cumulative cumulativeCalendar}
NattafAL17& Cplex & n & n & - & CECSP & -
SimoninAHL15& \su{MOST Ilog Scheduler}& n & n & \cite{SimoninAHL12} & & \su{cumulative dataTransfer}
LetortCB15& \su{Choco SICStus}& dead & - & - & - & \su{cumulative dimCumulative dimCumulativePrecedences}
NattafAL15& Cplex & n & n & & CSCSP & 
Siala15& - & - & - & \href{https://www.a4cp.org/sites/default/files/mohamed_siala_-_search_propagation_and_learning_in_sequencing_and_scheduling_problems.pdf}{PhD Thesis}& & 
Kameugne15& -& -& - & \href{https://www.a4cp.org/sites/default/files/roger_kameugne_-_propagation_techniques_of_resource_constraint_for_cumulative_scheduling.pdf}{PhDThesis}& RCPSP& 
KameugneFSN14& Gecode & \href{https://figshare.com/articles/dataset/Comparison_of_edge_finding_and_extended_edge_finding_filtering_algorithms/736454}{y} & & CP 2011 & CuSP & cumulative
HeinzSB13& \su{Cplex SCIP}& ref & - & - & \su{RCPSP RCPSP/max}& cumulative
OzturkTHO13& \su{{Ilog Solver} {Ilog Scheduler} Cplex} & \href{https://github.com/ozturkcemal/SBSFMMAL}{y} & - & - & SBSFMMAL & \su{alddifferent disjunctive}
HeinzSSW12& & Cplex & dead & - & SMSDP & -
LombardiM12 & - & - & - & - & survey & -
LimtanyakulS12& \su{Cplex {Ilog Scheduler}} & dead & - & - & & 
KovacsB11& Ilog Scheduler & n & n & -& & Completion
SchausHMCMD11& Comet & dead & & & SMSDP & 
BartakS11& - & - & -& & survey & 
SchuttFSW11& MiniZinc & PSPLib & - & - & RCPSP & cumulative 
KovacsK11& Ilog Solver & n & n & - & Bilevel Opt & 
LopesCSM10& Ilog Solver & - & - & CP2008 & & 
Simonis07& CHIP & n & n & & & \su{cumulative diffn cycle inverse}
Hooker06& \su{OPL Cplex {Ilog Scheduler}}& n & n & CP 2005 & CuSP& \su{cumulative}
Hooker05& \su{OPL Cplex {Ilog Scheduler}} & n & n & - & CuSP & \su{cumulative}
VilimBC05&  & n & n & & JSSP & disjunctive 
BaptisteP00& CLAIRE & n & n & & RCCSP & cumulative 
SchildW00& OZ & n & n & - & & disjunctive 
SakkoutW00& \su{Cplex ECLiPSe} & n & n & - & KRFP & 
HeipckeCCS00& \su{COME SchedEns} & dead & n & - & & 
BensanaLV99&  Ilog Solver & ? & - & - & & 
BelhadjiI98& - & n & n & - & \su{TCSP JSSP} & 
PapaB98& \su{{Ilog Solver} Claire} & dead & - & - & PJSSP & \su{disjunctive flow}
Zhou97& - & n & n& CP 1996& JSSP & \su{sort alldifferent permutation}
Darby-DowmanLMZ97&  \su{Cplex ECLiPSe}& n & n & - & MGAP & 
Wallace96& - & - & - & - & Survey & -
